# This is Supplementary Table 2 with some extra information from https://cgl.gi.ucsc.edu/data/cactus/Zoonomia-Supplemental-tables.xlsx,,,,,,,,
Order,Family,Species,Common Name,label,Source,Accession,IUCN,Echolocating
AFROSORICIDA,Chrysochloridae,Chrysochloris asiatica,Cape golden mole,Chrysochloris_asiatica,1. Zoonomia,GCA_004027935.1,LC,N
AFROSORICIDA,Tenrecidae,Echinops telfairi,Small madagascar hedgehog,Echinops_telfairi,2. Existing assembly,GCF_000313985.1,LC,N
AFROSORICIDA,Tenrecidae,Microgale talazaci,Talazac's shrew tenrec,Microgale_talazaci,1. Zoonomia,GCA_004026705.1,LC,N
CARNIVORA,Ailuridae,Ailurus fulgens,Lesser panda,Ailurus_fulgens,2. Existing assembly,GCA_002007465.1,EN,N
CARNIVORA,Canidae,Canis lupus familiaris,Domestic dog (village dog),Canis_lupus,1. Zoonomia,GCA_004027395.1,LC,N
CARNIVORA,Canidae,Canis lupus familiaris,Domestic dog,Canis_lupus_familiaris,2. Existing assembly,GCF_000002285.3,LC,N
CARNIVORA,Canidae,Lycaon pictus,African hunting dog,Lycaon_pictus,2. Existing assembly,GCA_001887905.1,EN,N
CARNIVORA,Canidae,Vulpes lagopus,Arctic fox,Vulpes_lagopus,1. Zoonomia,GCA_004023825.1,LC,N
CARNIVORA,Eupleridae,Cryptoprocta ferox,Fossa,Cryptoprocta_ferox,1. Zoonomia,GCA_004023885.1,VU,N
CARNIVORA,Felidae,Acinonyx jubatus,Cheetah,Acinonyx_jubatus,2. Existing assembly,GCF_001443585.1,CR,N
CARNIVORA,Felidae,Felis catus,Domestic cat,Felis_catus,2. Existing assembly,GCF_000181335.2,LC,N
CARNIVORA,Felidae,Felis nigripes,Black-footed cat,Felis_nigripes,1. Zoonomia,GCA_004023925.1,VU,N
CARNIVORA,Felidae,Panthera onca,Jaguar,Panthera_onca,1. Zoonomia,GCA_004023805.1,NT,N
CARNIVORA,Felidae,Panthera pardus,Leopard,Panthera_pardus,2. Existing assembly,GCA_001857705.1,VU,N
CARNIVORA,Felidae,Panthera tigris,Amur tiger,Panthera_tigris,2. Existing assembly,GCF_000464555.1,EN,N
CARNIVORA,Felidae,Puma concolor,Puma,Puma_concolor,2. Existing assembly,GCF_003327715.1,LC,N
CARNIVORA,Herpestidae,Helogale parvula,Dwarf mongoose,Helogale_parvula,1. Zoonomia,GCA_004023845.1,LC,N
CARNIVORA,Herpestidae,Mungos mungo,South African banded mongoose,Mungos_mungo,1. Zoonomia,GCA_004023785.1,LC,N
CARNIVORA,Herpestidae,Suricata suricatta,Meerkat,Suricata_suricatta,1. Zoonomia,GCA_004023905.1,LC,N
CARNIVORA,Hyaenidae,Hyaena hyaena,Striped hyena,Hyaena_hyaena,1. Zoonomia,GCA_004023945.1,NT,N
CARNIVORA,Mephitidae,Spilogale gracilis,Western spotted skunk,Spilogale_gracilis,1. Zoonomia,GCA_004023965.1,LC,N
CARNIVORA,Mustelidae,Enhydra lutris,Sea otter,Enhydra_lutris,2. Existing assembly,GCF_002288905.1,EN,N
CARNIVORA,Mustelidae,Mellivora capensis,Honey badger,Mellivora_capensis,1. Zoonomia,GCA_004024625.1,LC,N
CARNIVORA,Mustelidae,Mustela putorius,Domestic ferret,Mustela_putorius,2. Existing assembly,GCF_000239315.1,LC,N
CARNIVORA,Mustelidae,Pteronura brasiliensis,Giant otter,Pteronura_brasiliensis,1. Zoonomia,GCA_004024605.1,EN,N
CARNIVORA,Odobenidae,Odobenus rosmarus,Pacific walrus,Odobenus_rosmarus,2. Existing assembly,GCF_000321225.1,DD,N
CARNIVORA,Otariidae,Zalophus californianus,California sea lion,Zalophus_californianus,1. Zoonomia,GCA_004024565.1,LC,N
CARNIVORA,Phocidae,Leptonychotes weddellii,Weddell seal,Leptonychotes_weddellii,2. Existing assembly,GCF_000349705.1,LC,N
CARNIVORA,Phocidae,Mirounga angustirostris,Northern elephant seal,Mirounga_angustirostris,1. Zoonomia,GCA_004023865.1,LC,N
CARNIVORA,Phocidae,Neomonachus schauinslandi,Hawaiian monk seal,Neomonachus_schauinslandi,2. Existing assembly,GCA_002201575.1,EN,N
CARNIVORA,Ursidae,Ailuropoda melanoleuca,Giant panda,Ailuropoda_melanoleuca,2. Existing assembly,GCA_002007445.1,VU,N
CARNIVORA,Ursidae,Ursus maritimus,Polar bear,Ursus_maritimus,2. Existing assembly,GCF_000687225.1,VU,N
CARNIVORA,Viverridae,Paradoxurus hermaphroditus,Asian palm civet,Paradoxurus_hermaphroditus,1. Zoonomia,GCA_004024585.1,LC,N
CETARTIODACTYLA,Antilocapridae,Antilocapra americana,Pronghorn,Antilocapra_americana,1. Zoonomia,GCA_004027515.1,LC,N
CETARTIODACTYLA,Balaenidae,Eubalaena japonica,North Pacific right whale,Eubalaena_japonica,1. Zoonomia,GCA_004363455.1,EN,N
CETARTIODACTYLA,Balaenopteridae,Balaenoptera acutorostrata,Minke whale,Balaenoptera_acutorostrata,2. Existing assembly,GCF_000493695.1,LC,N
CETARTIODACTYLA,Balaenopteridae,Balaenoptera bonaerensis,Antarctic minke whale,Balaenoptera_bonaerensis,2. Existing assembly,GCA_000978805.1,DD,N
CETARTIODACTYLA,Bovidae,Ammotragus lervia,Aoudad,Ammotragus_lervia,2. Existing assembly,GCA_002201775.1,VU,N
CETARTIODACTYLA,Bovidae,Beatragus hunteri,Hirola,Beatragus_hunteri,1. Zoonomia,GCA_004027495.1,CR,N
CETARTIODACTYLA,Bovidae,Bison bison,American bison,Bison_bison,2. Existing assembly,GCF_000754665.1,NT,N
CETARTIODACTYLA,Bovidae,Bos indicus,Zebu cattle,Bos_indicus,2. Existing assembly,GCA_000247795.2,LC,N
CETARTIODACTYLA,Bovidae,Bos mutus,Wild yak,Bos_mutus,2. Existing assembly,GCF_000298355.1,VU,N
CETARTIODACTYLA,Bovidae,Bos taurus,Cattle,Bos_taurus,2. Existing assembly,GCF_000003205.7,LC,N
CETARTIODACTYLA,Bovidae,Bubalus bubalis,Water buffalo,Bubalus_bubalis,2. Existing assembly,GCF_000471725.1,LC,N
CETARTIODACTYLA,Bovidae,Capra aegagrus,Wild goat,Capra_aegagrus,2. Existing assembly,GCA_000978405.1,VU,N
CETARTIODACTYLA,Bovidae,Capra hircus,Goat,Capra_hircus,2. Existing assembly,GCF_001704415.1,LC,N
CETARTIODACTYLA,Bovidae,Hemitragus hylocrius,Nilgiri tahr,Hemitragus_hylocrius,1. Zoonomia,GCA_004026825.1,EN,N
CETARTIODACTYLA,Bovidae,Ovis aries,Sheep,Ovis_aries,2. Existing assembly,GCF_000298735.2,LC,N
CETARTIODACTYLA,Bovidae,Ovis canadensis cremnobates,Peninsular bighorn sheep,Ovis_canadensis_cremnobates,1. Zoonomia,GCA_004026945.1,EN,N
CETARTIODACTYLA,Bovidae,Pantholops hodgsonii,Chiru,Pantholops_hodgsonii,2. Existing assembly,GCF_000400835.1,NT,N
CETARTIODACTYLA,Bovidae,Saiga tatarica tatarica,Russian saiga,Saiga_tatarica_tatarica,1. Zoonomia,GCA_004024985.1,CR,N
CETARTIODACTYLA,Camelidae,Camelus bactrianus,Bactrian camel,Camelus_bactrianus,2. Existing assembly,GCF_000767855.1,LC,N
CETARTIODACTYLA,Camelidae,Camelus dromedarius,Arabian camel,Camelus_dromedarius,2. Existing assembly,GCF_000767585.1,LC,N
CETARTIODACTYLA,Camelidae,Camelus ferus,Wild bactrian camel,Camelus_ferus,2. Existing assembly,GCF_000311805.1,CR,N
CETARTIODACTYLA,Camelidae,Vicugna pacos,Alpaca,Vicugna_pacos,2. Existing assembly,GCA_000767525.1,LC,N
CETARTIODACTYLA,Cervidae,Elaphurus davidianus,Pere david's deer,Elaphurus_davidianus,2. Existing assembly,GCA_002443075.1,CR,N
CETARTIODACTYLA,Cervidae,Odocoileus virginianus,White-tailed deer,Odocoileus_virginianus,2. Existing assembly,GCA_002102435.1,LC,N
CETARTIODACTYLA,Cervidae,Rangifer tarandus,Siberian reindeer,Rangifer_tarandus,1. Zoonomia,GCA_004026565.1,VU,N
CETARTIODACTYLA,Delphinidae,Orcinus orca,Killer whale,Orcinus_orca,2. Existing assembly,GCF_000331955.2,DD,Y
CETARTIODACTYLA,Delphinidae,Tursiops truncatus,Bottlenose dolphin,Tursiops_truncatus,2. Existing assembly,GCA_001922835.1,LC,Y
CETARTIODACTYLA,Eschrichtiidae,Eschrichtius robustus,Grey whale,Eschrichtius_robustus,1. Zoonomia,GCA_004363415.1,LC,?
CETARTIODACTYLA,Giraffidae,Giraffa tippelskirchi,Giraffe,Giraffa_tippelskirchi,2. Existing assembly,GCA_001651235.1,VU,N
CETARTIODACTYLA,Giraffidae,Okapia johnstoni,Okapi,Okapia_johnstoni,2. Existing assembly,GCA_001660835.1,EN,N
CETARTIODACTYLA,Hippopotamidae,Hippopotamus amphibius,Hippopotamus,Hippopotamus_amphibius,1. Zoonomia,GCA_004027065.1,VU,N
CETARTIODACTYLA,Iniidae,Inia geoffrensis,Amazon river dolphin,Inia_geoffrensis,1. Zoonomia,GCA_004363515.1,DD,Y
CETARTIODACTYLA,Iniidae,Lipotes vexillifer,Yangtze river dolphin,Lipotes_vexillifer,2. Existing assembly,GCF_000442215.1,CR,Y
CETARTIODACTYLA,Monodontidae,Delphinapterus leucas,Beluga whale,Delphinapterus_leucas,2. Existing assembly,GCF_002288925.1,LC,Y
CETARTIODACTYLA,Monodontidae,Monodon monoceros,Narwhal,Monodon_monoceros,1. Zoonomia,GCA_004026685.1,LC,Y
CETARTIODACTYLA,Moschidae,Moschus moschiferus,Siberian musk deer,Moschus_moschiferus,1. Zoonomia,GCA_004024705.1,VU,N
CETARTIODACTYLA,Phocoenidae,Neophocaena asiaeorientalis,Yangtze finless porpoise,Neophocaena_asiaeorientalis,2. Existing assembly,GCA_003031525.1,EN,N
CETARTIODACTYLA,Phocoenidae,Phocoena phocoena,Harbor porpoise,Phocoena_phocoena,1. Zoonomia,GCA_004363495.1,LC,N
CETARTIODACTYLA,Physeteridae,Kogia breviceps,Pygmy sperm whale,Kogia_breviceps,1. Zoonomia,GCA_004363705.1,DD,Y
CETARTIODACTYLA,Platanistidae,Platanista gangetica minor,Indus river dolphin,Platanista_gangetica_minor,1. Zoonomia,GCA_004363435.1,EN,Y
CETARTIODACTYLA,Suidae,Sus scrofa,Pig,Sus_scrofa,2. Existing assembly,GCF_000003025.5,LC,N
CETARTIODACTYLA,Tayassuidae,Catagonus wagneri,Chacoan peccary,Catagonus_wagneri,1. Zoonomia,GCA_004024745.1,EN,N
CETARTIODACTYLA,Tragulidae,Tragulus javanicus,Java lesser chevrotain,Tragulus_javanicus,1. Zoonomia,GCA_004024965.1,DD,N
CETARTIODACTYLA,Ziphiidae,Mesoplodon bidens,Sowerbyï¿½s beaked whale,Mesoplodon_bidens,1. Zoonomia,GCA_004027085.1,DD,Y
CETARTIODACTYLA,Ziphiidae,Ziphius cavirostris,Cuvier's beaked whale,Ziphius_cavirostris,1. Zoonomia,GCA_004364475.1,LC,Y
CHIROPTERA,Craseonycteridae,Craseonycteris thonglongyai,Bumblebee bat,Craseonycteris_thonglongyai,1. Zoonomia,GCA_004027555.1,VU,Y
CHIROPTERA,Hipposideridae,Hipposideros armiger,Great roundleaf bat,Hipposideros_armiger,2. Existing assembly,GCA_001890085.1,LC,Y
CHIROPTERA,Hipposideridae,Hipposideros galeritus,Cantor's leaf-nosed bat,Hipposideros_galeritus,1. Zoonomia,GCA_004027415.1,LC,Y
CHIROPTERA,Megadermatidae,Megaderma lyra,Greater false vampire bat,Megaderma_lyra,1. Zoonomia,GCA_004026885.1,LC,Y
CHIROPTERA,Molossidae,Tadarida brasiliensis,Mexican free-tailed bat,Tadarida_brasiliensis,1. Zoonomia,GCA_004025005.1,LC,Y
CHIROPTERA,Mormoopidae,Mormoops blainvillei,Ghost-faced bat,Mormoops_blainvillei,1. Zoonomia,GCA_004026545.1,LC,Y
CHIROPTERA,Mormoopidae,Pteronotus parnellii,Parnell's mustached bat,Pteronotus_parnellii,2. Existing assembly,GCA_000465405.1,LC,Y
CHIROPTERA,Noctilionidae,Noctilio leporinus,Greater bulldog bat,Noctilio_leporinus,1. Zoonomia,GCA_004026585.1,LC,Y
CHIROPTERA,Phyllostomidae,Anoura caudifer,Tailed tailless bat,Anoura_caudifer,1. Zoonomia,GCA_004027475.1,LC,Y
CHIROPTERA,Phyllostomidae,Artibeus jamaicensis,Jamacian fruit-eating bat,Artibeus_jamaicensis,1. Zoonomia,GCA_004027435.1,LC,Y
CHIROPTERA,Phyllostomidae,Carollia perspicillata,Seba's short-tailed bat,Carollia_perspicillata,1. Zoonomia,GCA_004027735.1,LC,Y
CHIROPTERA,Phyllostomidae,Desmodus rotundus,Common vampire bat,Desmodus_rotundus,2. Existing assembly,GCA_002940915.2,LC,Y
CHIROPTERA,Phyllostomidae,Micronycteris hirsuta,Hairy big-eared bat,Micronycteris_hirsuta,1. Zoonomia,GCA_004026765.1,LC,Y
CHIROPTERA,Phyllostomidae,Tonatia saurophila,Stripe-headed round-eared bat,Tonatia_saurophila,1. Zoonomia,GCA_004024845.1,LC,Y
CHIROPTERA,Pteropodidae,Eidolon helvum,Straw-colored fruit bat,Eidolon_helvum,2. Existing assembly,GCA_000465285.1,NT,N
CHIROPTERA,Pteropodidae,Macroglossus sobrinus,Long-tongued fruit bat,Macroglossus_sobrinus,1. Zoonomia,GCA_004027375.1,LC,N
CHIROPTERA,Pteropodidae,Pteropus alecto,Black flying fox,Pteropus_alecto,2. Existing assembly,GCF_000325575.1,LC,N
CHIROPTERA,Pteropodidae,Pteropus vampyrus,Large flying fox,Pteropus_vampyrus,2. Existing assembly,GCF_000151845.1,NT,N
CHIROPTERA,Pteropodidae,Rousettus aegyptiacus,Egyptian fruit bat,Rousettus_aegyptiacus,1. Zoonomia,GCA_004024865.1,LC,N
CHIROPTERA,Rhinolophidae,Rhinolophus sinicus,Chinese rufous horseshoe bat,Rhinolophus_sinicus,2. Existing assembly,GCA_001888835.1,LC,Y
CHIROPTERA,Vespertilionidae,Eptesicus fuscus,Big brown bat,Eptesicus_fuscus,2. Existing assembly,GCF_000308155.1,LC,Y
CHIROPTERA,Vespertilionidae,Lasiurus borealis,Eastern red bat,Lasiurus_borealis,1. Zoonomia,GCA_004026805.1,LC,Y
CHIROPTERA,Vespertilionidae,Miniopterus natalensis,Bats,Miniopterus_natalensis,2. Existing assembly,GCF_001595765.1,LC,Y
CHIROPTERA,Vespertilionidae,Miniopterus schreibersii,Common bent-wing bat,Miniopterus_schreibersii,1. Zoonomia,GCA_004026525.1,NT,Y
CHIROPTERA,Vespertilionidae,Murina feae,Ashy-gray tube-nosed bat,Murina_feae,1. Zoonomia,GCA_004026665.1,LC,Y
CHIROPTERA,Vespertilionidae,Myotis brandtii,Brandt's bat,Myotis_brandtii,2. Existing assembly,GCF_000412655.1,LC,Y
CHIROPTERA,Vespertilionidae,Myotis davidii,Bats,Myotis_davidii,2. Existing assembly,GCF_000327345.1,LC,Y
CHIROPTERA,Vespertilionidae,Myotis lucifugus,Little brown bat,Myotis_lucifugus,2. Existing assembly,GCF_000147115.1,LC,Y
CHIROPTERA,Vespertilionidae,Myotis myotis,Greater mouse-eared bat,Myotis_myotis,1. Zoonomia,GCA_004026985.1,LC,Y
CHIROPTERA,Vespertilionidae,Pipistrellus pipistrellus,Common pipistrelle,Pipistrellus_pipistrellus,1. Zoonomia,GCA_004026625.1,LC,Y
CINGULATA,Dasypodidae,Chaetophractus vellerosus,Screaming hairy armadillo,Chaetophractus_vellerosus,1. Zoonomia,GCA_004027955.1,LC,N
CINGULATA,Dasypodidae,Dasypus novemcinctus,Nine-banded armadillo,Dasypus_novemcinctus,2. Existing assembly,GCF_000208655.1,LC,N
CINGULATA,Dasypodidae,Tolypeutes matacus,Southern three-banded armadillo,Tolypeutes_matacus,1. Zoonomia,GCA_004025125.1,NT,N
DERMOPTERA,Cynocephalidae,Galeopterus variegatus,Sunda flying lemur,Galeopterus_variegatus,1. Zoonomia,GCA_004027255.1,LC,N
EULIPOTYPHLA,Erinaceidae,Erinaceus europaeus,Western european hedgehog,Erinaceus_europaeus,2. Existing assembly,GCF_000296755.1,LC,N
EULIPOTYPHLA,Solenodontidae,Solenodon paradoxus,Hispaniolan solenodon,Solenodon_paradoxus,1. Zoonomia,GCA_004363575.1,EN,N
EULIPOTYPHLA,Soricidae,Crocidura indochinensis,Indochinese shrew,Crocidura_indochinensis,1. Zoonomia,GCA_004027635.1,LC,N
EULIPOTYPHLA,Soricidae,Sorex araneus,European shrew,Sorex_araneus,2. Existing assembly,GCF_000181275.1,LC,N
EULIPOTYPHLA,Talpidae,Condylura cristata,Star-nosed mole,Condylura_cristata,2. Existing assembly,GCF_000260355.1,LC,N
EULIPOTYPHLA,Talpidae,Scalopus aquaticus,Eastern mole,Scalopus_aquaticus,1. Zoonomia,GCA_004024925.1,LC,N
